"","ds","Global_reactive_power","y","kitchen_kwh","laundry_kwh","waterheat_aircond_kwh","Other_kwh","Voltage","Global_intensity","week"
"60",2007-02-13,134.678,23.5757666666667,0,2.828,6.256,14.4917666666667,241.166854166667,4.14375,7
"61",2007-02-14,202.506,41.6445333333333,3.295,3.793,11.579,22.9775333333333,240.375388888889,7.31513888888889,7
"62",2007-02-15,165.964,33.0891,0,2.363,14.028,16.6981,240.669222222222,5.82027777777778,7
"63",2007-02-16,151.686,28.3754666666667,1.148,0.859,8.689,17.6794666666667,240.820944444444,5.04652777777778,7
"64",2007-02-17,238.968,34.6152,1.765,2.226,7.157,23.4672,239.316034722222,6.12916666666667,7
"65",2007-02-18,255.522,63.8293666666667,6.107,8.003,13.129,36.5903666666667,239.170805555556,11.2388888888889,7
"66",2007-02-19,176.584,36.4435666666667,1.634,2.9,13.085,18.8245666666667,239.789583333333,6.44222222222222,8
"67",2007-02-20,187.158,52.4988,2.058,5.191,9.713,35.5368,239.865444444444,9.16847222222222,8
"68",2007-02-21,189.87,34.5479,3.527,2.332,11.548,17.1409,240.460965277778,6.07444444444444,8
"69",2007-02-22,138.074,56.2595,1.409,4.129,12.285,38.4365,238.620201388889,9.87486111111111,8
"70",2007-02-23,149.344,21.8913333333333,0,0.503,10.786,10.6023333333333,240.685965277778,3.82541666666667,8
"71",2007-02-24,122.202,11.9153666666667,0,0.363,3.562,7.99036666666667,239.863104166667,2.08583333333333,8
"72",2007-02-25,113.736,8.36233333333333,0,0.329,1.66,6.37333333333333,241.681548611111,1.46222222222222,8
"73",2007-02-26,108.28,9.47473333333333,0,0.331,2.83,6.31373333333333,241.273590277778,1.65888888888889,9
"74",2007-02-27,113.204,8.6352,0,0.314,1.924,6.3972,242.944270833333,1.52458333333333,9
"75",2007-02-28,113.372,8.67956666666667,0,0.34,1.973,6.36656666666667,242.159590277778,1.52847222222222,9
"76",2007-03-01,107.628,8.62606666666667,0,0.316,1.98,6.33006666666667,241.321402777778,1.50888888888889,9
"77",2007-03-02,107.008,8.5948,0,0.34,1.969,6.2858,240.591597222222,1.50680555555556,9
"78",2007-03-03,134.992,13.6520333333333,0,0.347,4.597,8.70803333333333,241.288083333333,2.40111111111111,9
"79",2007-03-04,175.682,34.845,1.476,8.711,9.408,15.25,240.029798611111,6.15819444444444,9
"80",2007-03-05,205.956,44.3388666666667,5.727,12.109,10.026,16.4768666666667,240.030909722222,7.84027777777778,10
"81",2007-03-06,186.148,20.775,0,1.74,4.7,14.335,240.988069444444,3.69569444444444,10
"82",2007-03-07,171.2,39.5867666666667,1.076,4.761,15.513,18.2367666666667,240.3235625,6.935,10
"83",2007-03-08,187.404,26.2022,2.18,3.385,6.655,13.9822,240.665423611111,4.66513888888889,10
"84",2007-03-09,119.238,21.2102,1.093,0.345,8.631,11.1412,240.888465277778,3.73125,10
"85",2007-03-10,243.528,41.4118666666667,4.13,5.422,10.979,20.8808666666667,239.802833333333,7.34194444444444,10
"86",2007-03-11,173.374,58.0106,4.81,3.42,9.5,40.2806,240.007291666667,10.1215277777778,10
"87",2007-03-12,134.422,32.5111333333333,1.403,2.841,12.353,15.9141333333333,240.558715277778,5.72847222222222,11
"88",2007-03-13,126.718,21.5024,1.35,3.859,5.323,10.9704,240.897965277778,3.80569444444444,11
"89",2007-03-14,157.522,29.8894,3.485,0.48,8.607,17.3174,240.777291666667,5.2675,11
"90",2007-03-15,159.326,31.4135666666667,0,3.263,11.036,17.1145666666667,240.280493055556,5.52319444444444,11
"91",2007-03-16,130.208,28.3675666666667,1.106,4.604,5.37,17.2875666666667,239.527131944444,4.99236111111111,11
"92",2007-03-17,127.068,33.8015,2.208,0.359,12.275,18.9595,238.224652777778,5.94611111111111,11
"93",2007-03-18,241.45,39.5174333333333,6.564,7.369,5.856,19.7284333333333,241.047819444444,7.00791666666667,11
"94",2007-03-19,144.764,35.8753,1.648,2.686,14.118,17.4233,240.497090277778,6.28194444444444,12
"95",2007-03-20,164.87,34.7704666666667,3.745,2.837,11.255,16.9334666666667,240.815638888889,6.15125,12
"96",2007-03-21,142.83,35.7015333333333,1.865,4.133,12.335,17.3685333333333,240.986645833333,6.23722222222222,12
"97",2007-03-22,113.826,24.2496333333333,0.353,0.736,10.462,12.6986333333333,241.763527777778,4.22305555555556,12
"98",2007-03-23,119.488,21.8168,1.127,0.777,8.369,11.5438,241.645479166667,3.80375,12
"99",2007-03-24,191.024,49.4738333333333,3.707,5.797,16.382,23.5878333333333,239.704472222222,8.70333333333333,12
"100",2007-03-25,236.1,55.6084333333333,4.63,3.6,9.358,38.0204333333333,240.034798611111,9.71666666666667,12
"101",2007-03-26,160.966,23.6013666666667,1.088,0.344,9.096,13.0733666666667,241.3368125,4.18305555555556,13
"102",2007-03-27,151.726,18.419,0,3.019,3.697,11.703,240.601979166667,3.29652777777778,13
"103",2007-03-28,196.518,38.8983,1.122,8.527,13.888,15.3613,240.444611111111,6.85458333333333,13
"104",2007-03-29,198.696,26.5067666666667,1.162,0.46,10.724,14.1607666666667,240.5366875,4.67680555555556,13
"105",2007-03-30,181.128,23.3732333333333,1.094,0.468,8.217,13.5942333333333,241.039229166667,4.18958333333333,13
"106",2007-03-31,231.504,58.4918333333333,2.62,7.707,17.682,30.4828333333333,239.260770833333,10.2647222222222,13
"107",2007-04-01,202.552,46.4325333333333,4.629,5.401,19.509,16.8935333333333,240.024486111111,8.14944444444444,13
"108",2007-04-02,174.336,32.6796333333333,1.755,0.97,16.641,13.3136333333333,240.460118055556,5.71263888888889,14
"109",2007-04-03,168.76,27.3803333333333,3.63,1.042,7.637,15.0713333333333,240.504958333333,4.84625,14
"110",2007-04-04,172.318,34.1978,3.434,0.42,14.748,15.5958,240.331784722222,5.98625,14
"111",2007-04-05,244.538,30.7346333333333,1.086,4.277,10.523,14.8486333333333,241.173104166667,5.49152777777778,14
"112",2007-04-06,143.214,26.6856666666667,0,5.466,9.166,12.0536666666667,241.184451388889,4.68861111111111,14
"113",2007-04-07,138.73,25.8987333333333,1.127,3.111,5.923,15.7377333333333,240.378590277778,4.56458333333333,14
"114",2007-04-08,135.882,26.8136,0,0.485,3.545,22.7836,240.349180555556,4.71986111111111,14
"115",2007-04-09,160.11,16.682,2.667,0.514,3.801,9.7,240.550486111111,2.97458333333333,15
"116",2007-04-10,148.94,12.9560666666667,0.209,0.742,2.572,9.43306666666667,240.813701388889,2.34736111111111,15
"117",2007-04-11,192.446,14.7913666666667,0,1.112,6.421,7.25836666666667,241.154826388889,2.61875,15
"118",2007-04-12,147.812,8.96176666666667,0,0.541,1.818,6.60276666666667,240.2560625,1.59791666666667,15
"119",2007-04-13,151.64,9.1837,0,0.558,1.988,6.6377,240.050486111111,1.64333333333333,15
"120",2007-04-14,155.61,9.2378,0,0.578,2.008,6.6518,240.313145833333,1.65138888888889,15
"121",2007-04-15,171.544,12.1027333333333,0,1.026,2.893,8.18373333333333,240.2366875,2.18652777777778,15
"122",2007-04-16,186.074,15.8731666666667,0.952,1.305,4.656,8.96016666666667,240.657138888889,2.8725,16
"123",2007-04-17,218.354,20.3955666666667,1.532,0.389,6.199,12.2755666666667,240.195666666667,3.69083333333333,16
"124",2007-04-18,165.224,16.6374333333333,1.579,0.355,3.43,11.2734333333333,240.146777777778,2.99541666666667,16
"125",2007-04-19,149.66,17.1443,0.733,1.605,5.748,9.0583,240.429840277778,3.05583333333333,16
"126",2007-04-20,145.646,13.7096666666667,1.069,0.36,3.499,8.78166666666667,240.132895833333,2.49486111111111,16
"127",2007-04-21,212.658,27.8942666666667,6.575,0.463,11.129,9.72726666666667,239.213236111111,5.03569444444444,16
"128",2007-04-22,267.194,37.2285666666667,4.264,2.287,11.102,19.5755666666667,239.608881944444,6.68847222222222,16
"129",2007-04-23,135.64,17.5761,1.402,0.506,6.005,9.6631,237.235645833333,3.26416666666667,17
"130",2007-04-24,135.264,17.2016666666667,1.125,0.527,6.68,8.86966666666667,235.344923611111,3.14486111111111,17
"131",2007-04-25,164.736,21.0693666666667,0,1.469,8.812,10.7883666666667,234.941111111111,3.85805555555556,17
"132",2007-04-26,163.606,21.2577666666667,1.324,1.845,7.163,10.9257666666667,234.787298611111,3.92375,17
"133",2007-04-27,161.928,18.2388666666667,1.772,0.545,4.756,11.1658666666667,235.216166666667,3.3125,17
"134",2007-04-28,2.86,0.378966666666667,0,0.018,0,0.360966666666667,3.41229861111111,0.0676388888888889,17
"135",2007-04-29,0,0,0,0,0,0,0,0,17
"136",2007-04-30,71.718,7.0137,1.214,0.5,1.131,4.1687,93.9480138888889,1.29569444444444,18
"137",2007-05-01,181.608,27.7309666666667,4.005,0.995,8.546,14.1849666666667,234.678701388889,5.07333333333333,18
"138",2007-05-02,160.092,16.7247666666667,0.007,1.49,3.754,11.4737666666667,235.582076388889,3.14152777777778,18
"139",2007-05-03,150.942,18.1706333333333,1.906,1.725,7.836,6.70363333333333,235.134888888889,3.30763888888889,18
"140",2007-05-04,174.74,16.6354666666667,2.259,0.538,3.99,9.84846666666667,235.710194444444,3.07805555555556,18
"141",2007-05-05,174.102,26.0508666666667,2.913,2.493,11.303,9.34186666666667,235.035020833333,4.73611111111111,18
"142",2007-05-06,182.336,35.0350666666667,3.215,0.949,10.095,20.7760666666667,234.409652777778,6.40902777777778,18
"143",2007-05-07,168.918,27.3944,0.946,4.935,9.433,12.0804,234.536972222222,4.98097222222222,19
"144",2007-05-08,181.612,29.8215333333333,4.581,2.011,8.777,14.4525333333333,234.906236111111,5.35638888888889,19
"145",2007-05-09,183.484,27.7622666666667,3.018,5.631,9.474,9.63926666666667,234.873722222222,5.05611111111111,19
"146",2007-05-10,168.314,11.7980666666667,0.946,0.534,3.261,7.05706666666667,235.796256944444,2.20680555555556,19
"147",2007-05-11,132.096,16.3192333333333,0.926,0.491,6.471,8.43123333333333,235.229756944444,3.02763888888889,19
"148",2007-05-12,209.172,24.0261,2.247,1.075,10.408,10.2961,234.722902777778,4.36055555555556,19
"149",2007-05-13,220.67,27.2456333333333,3.612,2.414,8.958,12.2616333333333,235.708708333333,4.96916666666667,19
"150",2007-05-14,298.552,24.4630333333333,3.176,2.417,5.517,13.3530333333333,235.690069444444,4.57416666666667,20
"151",2007-05-15,111.182,15.0732,0,0.408,5.318,9.3472,235.611993055556,2.73333333333333,20
"152",2007-05-16,135.894,28.2157333333333,2.213,5.756,9.077,11.1697333333333,235.2608125,5.07180555555556,20
"153",2007-05-17,131.188,20.5302666666667,1.014,2.073,7.687,9.75626666666667,235.868458333333,3.72097222222222,20
"154",2007-05-18,171.258,27.1921666666667,3.27,3.913,8.116,11.8931666666667,235.994597222222,4.87666666666667,20
"155",2007-05-19,167.858,23.8240333333333,4.683,0.53,7.022,11.5890333333333,234.944722222222,4.31930555555556,20
"156",2007-05-20,187.532,32.8054666666667,5.42,1.733,7.611,18.0414666666667,235.348118055556,5.94152777777778,20
"157",2007-05-21,117.28,18.6677,0,0.468,9.06,9.1397,234.691909722222,3.33861111111111,21
"158",2007-05-22,128.916,18.8808666666667,0.931,3.966,3.984,9.99986666666667,235.480576388889,3.39986111111111,21
"159",2007-05-23,165.878,24.4156,0.956,3.792,8.119,11.5486,234.812493055556,4.3975,21
"160",2007-05-24,135.56,19.2398,0.955,4.116,4.746,9.4228,235.5460625,3.46208333333333,21
"161",2007-05-25,174.588,26.9036666666667,8.06,0.586,6.539,11.7186666666667,234.447201388889,4.86347222222222,21
"162",2007-05-26,174.24,25.2041333333333,2.373,2.754,8.628,11.4491333333333,235.069888888889,4.56277777777778,21
"163",2007-05-27,219.894,35.8968,4.366,5.534,10.444,15.5528,234.9084375,6.50652777777778,21
"164",2007-05-28,151.1,27.2911333333333,4.554,0.473,9.586,12.6781333333333,234.906576388889,4.92194444444444,22
"165",2007-05-29,113.244,17.689,0,1.907,4.332,11.45,235.694347222222,3.20722222222222,22
"166",2007-05-30,147.058,26.8311,2.25,5.948,7.804,10.8291,234.831395833333,4.82847222222222,22
"167",2007-05-31,129.586,15.6425,0.935,0.477,3.552,10.6785,235.096527777778,2.79180555555556,22
"168",2007-06-01,143.42,17.4229,0,0.483,7.664,9.2759,235.3230625,3.135,22
"169",2007-06-02,166.108,24.7393666666667,3.971,1.25,7.633,11.8853666666667,234.469027777778,4.47402777777778,22
"170",2007-06-03,182.458,35.1337666666667,4.985,7.529,8.334,14.2857666666667,234.762375,6.35291666666667,22
"171",2007-06-04,223.192,15.1936333333333,1.585,0.836,4.533,8.23963333333333,234.748069444444,2.82222222222222,23
"172",2007-06-05,255.692,24.3148666666667,4.484,1.027,6.448,12.3558666666667,234.692763888889,4.46513888888889,23
"173",2007-06-06,231.138,28.2595333333333,3.33,0.829,11.68,12.4205333333333,234.621430555556,5.11097222222222,23
"174",2007-06-07,172.334,16.4167,0.985,0.699,3.959,10.7737,234.478805555556,2.98236111111111,23
"175",2007-06-08,229.732,35.8007666666667,2.799,11.44,11.38,10.1817666666667,236.197444444444,6.44819444444444,23
"176",2007-06-09,227.898,17.7165,0.852,0.599,6.59,9.6755,235.193201388889,3.17972222222222,23
"177",2007-06-10,239.092,22.3468666666667,4.202,1.924,5.983,10.2378666666667,240.844284722222,4.00569444444444,23
"178",2007-06-11,194.634,13.2442333333333,0,0.487,5.328,7.42923333333333,240.85675,2.41791666666667,24
"179",2007-06-12,216.416,15.3127666666667,1.882,0.475,3.898,9.05776666666667,240.224895833333,2.85861111111111,24
"180",2007-06-13,208.26,15.4545333333333,0.957,0.857,5.216,8.42453333333333,240.397604166667,2.8175,24
"181",2007-06-14,231.696,20.9847333333333,3.322,2.147,7.054,8.46173333333333,239.847784722222,3.78333333333333,24
"182",2007-06-15,251.762,16.4934,2.269,4.011,4.547,5.6664,240.464381944444,3.06625,24
"183",2007-06-16,307.558,33.6293666666667,3.289,4.498,11.108,14.7343666666667,239.501694444444,5.975,24
"184",2007-06-17,239.814,32.4515,4.124,5.038,8.734,14.5555,240.219180555556,5.76930555555556,24
"185",2007-06-18,180.81,11.3079,0,0.529,4.241,6.5379,240.776201388889,2.07875,25
"186",2007-06-19,188.166,14.0866666666667,0.973,0.537,4.391,8.18566666666667,240.266645833333,2.56527777777778,25
"187",2007-06-20,227.302,17.9047666666667,1.761,2.588,5.106,8.44976666666667,240.156166666667,3.30680555555556,25
"188",2007-06-21,222.546,13.4491,0.932,2.4,3.711,6.4061,240.574944444444,2.50083333333333,25
"189",2007-06-22,208.526,9.43823333333333,0,0.951,3.482,5.00523333333333,240.835631944444,1.80736111111111,25
"190",2007-06-23,193.12,7.95943333333333,0,0.786,2.402,4.77143333333333,240.318965277778,1.53569444444444,25
"191",2007-06-24,179.362,11.9109333333333,0,0.791,3.449,7.67093333333333,241.132215277778,2.20763888888889,25
"192",2007-06-25,197.27,17.8700333333333,1.985,3.621,4.816,7.44803333333333,240.422263888889,3.25,26
"193",2007-06-26,182.42,15.7484666666667,0.971,1.334,5.231,8.21246666666667,240.094506944444,2.87708333333333,26
"194",2007-06-27,206.998,24.6804333333333,2.603,6.451,7.27,8.35643333333333,239.758409722222,4.42916666666667,26
"195",2007-06-28,217.446,21.5906333333333,0,4.368,9.541,7.68163333333333,239.423666666667,3.88958333333333,26
"196",2007-06-29,206.194,21.7407,4.363,0.667,6.797,9.9137,240.179486111111,3.94055555555556,26
"197",2007-06-30,188.354,22.2552333333333,3.049,0.792,8.376,10.0382333333333,240.011611111111,3.97152777777778,26
"198",2007-07-01,172.448,17.1110666666667,0.969,0.736,4.69,10.7160666666667,240.067152777778,3.08069444444444,26
"199",2007-07-02,176.924,16.1172,1.018,5.281,3.445,6.3732,240.6718125,2.92777777777778,27
"200",2007-07-03,180.338,17.6652,0.467,3.214,4.695,9.2892,240.1869375,3.23069444444444,27
"201",2007-07-04,253.334,16.7235,2.329,2.218,5.632,6.5445,240.659631944444,3.09541666666667,27
"202",2007-07-05,246.716,17.6215,2.922,0.77,3.973,9.9565,240.444444444444,3.23319444444444,27
"203",2007-07-06,219.35,17.8254,2.826,3.563,4.005,7.4314,240.599451388889,3.26861111111111,27
"204",2007-07-07,214.044,22.6367666666667,0.997,3.047,10.177,8.41576666666667,239.910138888889,4.03486111111111,27
"205",2007-07-08,196.92,18.1513333333333,1.825,2.831,5.277,8.21833333333333,240.338895833333,3.28930555555556,27
"206",2007-07-09,172.422,19.6693,0.923,0.594,9.386,8.7663,240.617645833333,3.51625,28
"207",2007-07-10,176.244,15.1387333333333,0.067,2.227,4.631,8.21373333333333,239.983055555556,2.78611111111111,28
"208",2007-07-11,153.856,12.0392,1.015,0.647,5.284,5.0932,241.030034722222,2.19944444444444,28
"209",2007-07-12,209.098,17.8263666666667,1.029,2.55,6.419,7.82836666666667,240.764618055556,3.23361111111111,28
"210",2007-07-13,206.694,13.2397,0,0.633,4.427,8.1797,240.854805555556,2.45083333333333,28
"211",2007-07-14,258.45,21.4695,3.775,1.968,6.604,9.1225,241.291881944444,3.89402777777778,28
"212",2007-07-15,233.182,15.2837333333333,0.862,0.632,5.585,8.20473333333333,218.876027777778,2.8125,28
"213",2007-07-16,233.96,14.2279,0.83,0.695,4.176,8.5269,236.507236111111,2.66055555555556,29
"214",2007-07-17,176.088,11.9938666666667,0.848,0.694,3.335,7.11686666666667,234.741256944444,2.27625,29
"215",2007-07-18,156.514,12.6180333333333,0.909,0.671,4.628,6.41003333333333,231.088229166667,2.38680555555556,29
"216",2007-07-19,187.012,11.2981,1.068,0.703,3.13,6.3971,234.261861111111,2.14388888888889,29
"217",2007-07-20,223.118,18.5070333333333,2.111,2.418,4.765,9.21303333333333,235.568902777778,3.45166666666667,29
"218",2007-07-21,236.158,17.6708,0.428,0.512,7.756,8.9748,234.256625,3.29152777777778,29
"219",2007-07-22,218.756,22.9543333333333,7.091,2.136,5.573,8.15433333333333,235.962055555556,4.22847222222222,29
"220",2007-07-23,143.77,16.5169666666667,1.747,1.288,3.847,9.63496666666667,234.500868055556,3.07597222222222,30
"221",2007-07-24,112.81,13.7547333333333,0,1.607,5.599,6.54873333333333,235.363041666667,2.55097222222222,30
"222",2007-07-25,108.234,7.876,0,0.151,2.333,5.392,235.641048611111,1.47930555555556,30
"223",2007-07-26,115.092,15.4083333333333,0.975,3.633,4.346,6.45433333333333,234.943722222222,2.83819444444444,30
"224",2007-07-27,120.456,20.0419,1.837,0.049,7.157,10.9989,235.553680555556,3.62333333333333,30
"225",2007-07-28,178.73,27.0310333333333,0.907,10.265,6.559,9.30003333333333,235.507236111111,4.94166666666667,30
"226",2007-07-29,118.576,5.35193333333333,0,0,1.288,4.06393333333333,235.712034722222,1.03347222222222,30
"227",2007-07-30,129.492,7.78026666666667,0,0,2.528,5.25226666666667,235.530229166667,1.46722222222222,31
"228",2007-07-31,145.786,13.5388666666667,3.277,0,3.575,6.68686666666667,234.9148125,2.5025,31
"229",2007-08-01,142.556,17.6723,1.583,0,9.812,6.2773,231.581958333333,3.20597222222222,31
"230",2007-08-02,144.954,16.9902666666667,0.482,0,6.869,9.63926666666667,234.856590277778,3.08708333333333,31
"231",2007-08-03,125.388,17.7227333333333,0.958,0,9.139,7.62573333333333,234.485604166667,3.20722222222222,31
"232",2007-08-04,139.226,19.0831666666667,0.552,0.398,7.966,10.1671666666667,235.257222222222,3.45236111111111,31
"233",2007-08-05,151.254,13.1183,0.169,0,6.647,6.3023,235.115270833333,2.43680555555556,31
"234",2007-08-06,154.434,18.162,1.096,0,7.985,9.081,234.702743055556,3.31708333333333,32
"235",2007-08-07,131.182,24.7263333333333,0.437,2.168,9.042,13.0793333333333,234.553881944444,4.42597222222222,32
"236",2007-08-08,119.096,18.7580333333333,1.055,1.111,9.66,6.93203333333333,234.512375,3.38055555555556,32
"237",2007-08-09,109.474,17.8613333333333,0.182,4.515,6.646,6.51833333333333,234.214388888889,3.27236111111111,32
"238",2007-08-10,117.656,17.1335,0.336,2.651,8.287,5.8595,234.4888125,3.12972222222222,32
"239",2007-08-11,115.77,18.1941666666667,1.18,0.91,10.339,5.76516666666667,234.980180555556,3.28569444444444,32
"240",2007-08-12,127.776,20.6984,1.123,1.156,8.582,9.8374,235.664854166667,3.74277777777778,32
"241",2007-08-13,130.94,19.2168666666667,0.093,0.476,11.101,7.54686666666667,235.216569444444,3.44875,33
"242",2007-08-14,132.01,15.6865,0.951,0.685,6.256,7.7945,237.076388888889,2.85416666666667,33
"243",2007-08-15,159.764,19.8643333333333,0.338,0.508,9.787,9.23133333333333,239.993409722222,3.54208333333333,33
"244",2007-08-16,131.532,15.9749333333333,0.962,0,7.476,7.53693333333333,239.737659722222,2.84388888888889,33
"245",2007-08-17,127.388,16.8315333333333,0.244,0,7.769,8.81853333333333,240.494048611111,2.98152777777778,33
"246",2007-08-18,119.24,5.79933333333333,0,0,1.83,3.96933333333333,241.279631944444,1.07888888888889,33
"247",2007-08-19,160.018,23.7049,1.025,8.912,5.989,7.7789,239.953666666667,4.26194444444444,33
"248",2007-08-20,155.88,22.3140333333333,1.032,6.965,7.383,6.93403333333333,241.300694444444,3.96333333333333,34
